2025-03-09 21:56:23 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-09 21:56:23 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Starting HackathonServiceApplication using Java 22.0.1 with PID 33104 (D:\Kien FPT\Semester 9\Hackathon\hackathon-service\target\classes started by TRUNG KIEN in D:\Kien FPT\Semester 9\Hackathon)
2025-03-09 21:56:23 [restartedMain] DEBUG c.h.h.HackathonServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2025-03-09 21:56:23 [restartedMain] INFO  c.h.h.HackathonServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-09 21:56:23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-09 21:56:23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-09 21:56:24 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-09 21:56:24 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 107 ms. Found 10 JPA repository interfaces.
2025-03-09 21:56:24 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c3e043ee-88c8-320d-a882-2950dfa31f24
2025-03-09 21:56:25 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-03-09 21:56:25 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-03-09 21:56:25 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-09 21:56:25 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-03-09 21:56:25 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-09 21:56:25 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2578 ms
2025-03-09 21:56:26 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-09 21:56:26 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-03-09 21:56:26 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-09 21:56:26 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
